seqnames	start	end	width	strand	gene_id	gene_name	gene_biotype	seq_coord_system	description	gene_id_version	symbol	entrezid	logFC	logCPM	F	PValue	FDR	mlog10PValue
1	75200000	75200000	7240	+	ENSMUSG00000026199	Ankzf1	protein_coding	chromosome	ankyrin repeat and zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1098746]	ENSMUSG00000026199.17	Ankzf1	52231	0.84	4.7	35.2	4.05e-07	0.000523	6.39
1	72300000	72300000	18700	+	ENSMUSG00000026188	Tmem169	protein_coding	chromosome	transmembrane protein 169 [Source:MGI Symbol;Acc:MGI:2442781]	ENSMUSG00000026188.11	Tmem169	271711	0.799	3.49	35.2	4.14e-07	0.000523	6.38
7	45800000	45900000	46500	-	ENSMUSG00000002771	Grin2d	protein_coding	chromosome	glutamate receptor, ionotropic, NMDA2D (epsilon 4) [Source:MGI Symbol;Acc:MGI:95823]	ENSMUSG00000002771.12	Grin2d	14814	1.52	5.23	35	4.4e-07	0.000523	6.36
10	80700000	80700000	3190	+	ENSMUSG00000055862	Izumo4	protein_coding	chromosome	IZUMO family member 4 [Source:MGI Symbol;Acc:MGI:1918814]	ENSMUSG00000055862.7	Izumo4	71564	1	5.03	34.7	4.7e-07	0.000523	6.33
14	14100000	14100000	8810	-	ENSMUSG00000021737	Psmd6	protein_coding	chromosome	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6 [Source:MGI Symbol;Acc:MGI:1913663]	ENSMUSG00000021737.4	Psmd6	66413	-1.07	5.46	34.7	4.76e-07	0.000523	6.32
14	55500000	55500000	17200	+	ENSMUSG00000022211	Carmil3	protein_coding	chromosome	capping protein regulator and myosin 1 linker 3 [Source:MGI Symbol;Acc:MGI:2448573]	ENSMUSG00000022211.8	Carmil3	268747	1.16	6.95	34.5	4.98e-07	0.000523	6.3
11	74800000	74800000	57700	+	ENSMUSG00000010554	Mettl16	protein_coding	chromosome	methyltransferase like 16 [Source:MGI Symbol;Acc:MGI:1914743]	ENSMUSG00000010554.14	Mettl16	67493	-1.08	4.76	34.5	5.02e-07	0.000523	6.3
11	69300000	69300000	2180	+	ENSMUSG00000043419	Chd3os	protein_coding	chromosome	chromodomain helicase DNA binding protein 3, opposite strand [Source:MGI Symbol;Acc:MGI:1915359]	ENSMUSG00000043419.11	Chd3os	NA	1.08	6.23	34.4	5.09e-07	0.000523	6.29
11	29700000	3e+07	283000	-	ENSMUSG00000044072	Eml6	protein_coding	chromosome	echinoderm microtubule associated protein like 6 [Source:MGI Symbol;Acc:MGI:2442895]	ENSMUSG00000044072.14	Eml6	237711	1.21	5.46	33.9	5.92e-07	0.000576	6.23
17	47700000	47700000	15300	+	ENSMUSG00000023266	Frs3	protein_coding	chromosome	fibroblast growth factor receptor substrate 3 [Source:MGI Symbol;Acc:MGI:2135965]	ENSMUSG00000023266.11	Frs3	107971	1.03	3.56	33.2	7.42e-07	0.000613	6.13
18	73900000	74100000	137000	-	ENSMUSG00000024558	Mapk4	protein_coding	chromosome	mitogen-activated protein kinase 4 [Source:MGI Symbol;Acc:MGI:2444559]	ENSMUSG00000024558.12	Mapk4	225724	-1.33	3.89	33.1	7.58e-07	0.000613	6.12
16	64800000	64800000	19400	-	ENSMUSG00000059920	4930453N24Rik	protein_coding	chromosome	RIKEN cDNA 4930453N24 gene [Source:MGI Symbol;Acc:MGI:1914859]	ENSMUSG00000059920.9	4930453N24Rik	67609	-1.04	3.15	32.9	7.98e-07	0.000613	6.1
13	4.1e+07	4.1e+07	12000	+	ENSMUSG00000038683	Pak1ip1	protein_coding	chromosome	PAK1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1915333]	ENSMUSG00000038683.16	Pak1ip1	68083	-1.34	4.8	32.7	8.46e-07	0.000613	6.07
4	13700000	13900000	150000	+	ENSMUSG00000006586	Runx1t1	protein_coding	chromosome	runt-related transcription factor 1; translocated to, 1 (cyclin D-related) [Source:MGI Symbol;Acc:MGI:104793]	ENSMUSG00000006586.15	Runx1t1	12395	1.41	4.29	32.6	8.83e-07	0.000613	6.05
8	1.1e+08	1.1e+08	19400	+	ENSMUSG00000031728	Zfp821	protein_coding	chromosome	zinc finger protein 821 [Source:MGI Symbol;Acc:MGI:1923121]	ENSMUSG00000031728.10	Zfp821	75871	1	4.72	32.5	9.02e-07	0.000613	6.04
3	94800000	94800000	26400	-	ENSMUSG00000068876	Cgn	protein_coding	chromosome	cingulin [Source:MGI Symbol;Acc:MGI:1927237]	ENSMUSG00000068876.14	Cgn	70737	1.42	3.14	32.4	9.24e-07	0.000613	6.03
10	78800000	78800000	34300	+	ENSMUSG00000005357	Slc1a6	protein_coding	chromosome	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6 [Source:MGI Symbol;Acc:MGI:1096331]	ENSMUSG00000005357.9	Slc1a6	20513	1.44	3.48	32.4	9.25e-07	0.000613	6.03
4	33200000	33200000	24400	+	ENSMUSG00000054679	Srsf12	protein_coding	chromosome	serine/arginine-rich splicing factor 12 [Source:MGI Symbol;Acc:MGI:2661424]	ENSMUSG00000054679.8	Srsf12	272009	0.84	4.61	32.4	9.28e-07	0.000613	6.03
7	57400000	57400000	22700	+	ENSMUSG00000055048	Gm9962	antisense_RNA	chromosome	predicted gene 9962 [Source:MGI Symbol;Acc:MGI:3642695]	ENSMUSG00000055048.7	Gm9962	NA	1.91	0.544	32.2	9.88e-07	0.000627	6.01
1	37800000	37900000	112000	-	ENSMUSG00000060771	Tsga10	protein_coding	chromosome	testis specific 10 [Source:MGI Symbol;Acc:MGI:2685063]	ENSMUSG00000060771.14	Tsga10	211484	0.822	3.94	32.1	1.02e-06	0.000627	5.99
10	93900000	93900000	38600	-	ENSMUSG00000036112	Metap2	protein_coding	chromosome	methionine aminopeptidase 2 [Source:MGI Symbol;Acc:MGI:1929701]	ENSMUSG00000036112.15	Metap2	56307	-0.836	6.49	31.8	1.13e-06	0.000672	5.95
7	19500000	19500000	33400	+	ENSMUSG00000011263	Exoc3l2	protein_coding	chromosome	exocyst complex component 3-like 2 [Source:MGI Symbol;Acc:MGI:1921713]	ENSMUSG00000011263.16	Exoc3l2	74463	2.06	0.0515	31.5	1.22e-06	0.000703	5.91
17	8.6e+07	86100000	161000	-	ENSMUSG00000024135	Srbd1	protein_coding	chromosome	S1 RNA binding domain 1 [Source:MGI Symbol;Acc:MGI:1925836]	ENSMUSG00000024135.9	Srbd1	78586	-0.583	3.32	31.2	1.33e-06	0.000746	5.88
13	64700000	64900000	168000	-	ENSMUSG00000033063	Cntnap3	protein_coding	chromosome	contactin associated protein-like 3 [Source:MGI Symbol;Acc:MGI:3588199]	ENSMUSG00000033063.8	Cntnap3	238680	2.36	4.38	31.1	1.37e-06	0.000747	5.86
16	4730000	4770000	40400	+	ENSMUSG00000004070	Hmox2	protein_coding	chromosome	heme oxygenase 2 [Source:MGI Symbol;Acc:MGI:109373]	ENSMUSG00000004070.15	Hmox2	15369	0.758	4.82	30.5	1.63e-06	0.000842	5.79
2	1.73e+08	1.73e+08	52100	-	ENSMUSG00000038400	Pmepa1	protein_coding	chromosome	prostate transmembrane protein, androgen induced 1 [Source:MGI Symbol;Acc:MGI:1929600]	ENSMUSG00000038400.15	Pmepa1	65112	-1.46	3.23	30.5	1.65e-06	0.000842	5.78
X	1.01e+08	1.01e+08	16500	-	ENSMUSG00000031310	Zmym3	protein_coding	chromosome	zinc finger, MYM-type 3 [Source:MGI Symbol;Acc:MGI:1927231]	ENSMUSG00000031310.16	Zmym3	56364	0.791	7.23	30.4	1.69e-06	0.000842	5.77
5	1.18e+08	1.18e+08	90500	-	ENSMUSG00000032867	Fbxw8	protein_coding	chromosome	F-box and WD-40 domain protein 8 [Source:MGI Symbol;Acc:MGI:1923041]	ENSMUSG00000032867.8	Fbxw8	231672	-0.763	6.26	30.2	1.81e-06	0.000876	5.74
6	29200000	29200000	10400	-	ENSMUSG00000079654	Prrt4	protein_coding	chromosome	proline-rich transmembrane protein 4 [Source:MGI Symbol;Acc:MGI:2141677]	ENSMUSG00000079654.3	Prrt4	101359	1.39	3.07	30.1	1.86e-06	0.000876	5.73
3	1.06e+08	1.06e+08	74100	-	ENSMUSG00000068798	Rap1a	protein_coding	chromosome	RAS-related protein-1a [Source:MGI Symbol;Acc:MGI:97852]	ENSMUSG00000068798.10	Rap1a	109905	-0.677	5.36	30	1.89e-06	0.000876	5.72
14	74800000	74900000	193000	-	ENSMUSG00000068015	Lrch1	protein_coding	chromosome	leucine-rich repeats and calponin homology (CH) domain containing 1 [Source:MGI Symbol;Acc:MGI:2443390]	ENSMUSG00000068015.6	Lrch1	380916	0.656	3.32	29.8	2.07e-06	0.000917	5.68
4	1.55e+08	1.55e+08	73700	-	ENSMUSG00000029055	Plch2	protein_coding	chromosome	phospholipase C, eta 2 [Source:MGI Symbol;Acc:MGI:2443078]	ENSMUSG00000029055.17	Plch2	269615	1.71	5.16	29.7	2.08e-06	0.000917	5.68
4	1.49e+08	1.49e+08	14600	-	ENSMUSG00000041459	Tardbp	protein_coding	chromosome	TAR DNA binding protein [Source:MGI Symbol;Acc:MGI:2387629]	ENSMUSG00000041459.15	Tardbp	230908	-0.644	7.72	29.4	2.29e-06	0.000982	5.64
2	1.63e+08	1.63e+08	31100	+	ENSMUSG00000035576	L3mbtl1	protein_coding	chromosome	l(3)mbt-like (Drosophila) [Source:MGI Symbol;Acc:MGI:2676663]	ENSMUSG00000035576.13	L3mbtl1	241764	1.68	4.27	29.4	2.34e-06	0.000982	5.63
16	17300000	17300000	6930	+	ENSMUSG00000055692	Tmem191c	protein_coding	chromosome	transmembrane protein 191C [Source:MGI Symbol;Acc:MGI:107238]	ENSMUSG00000055692.18	Tmem191c	224019	1.06	6.31	29.2	2.45e-06	0.000987	5.61
6	48600000	48600000	6930	+	ENSMUSG00000053297	AI854703	protein_coding	chromosome	expressed sequence AI854703 [Source:MGI Symbol;Acc:MGI:2141510]	ENSMUSG00000053297.14	AI854703	NA	1.11	3.62	29.2	2.46e-06	0.000987	5.61
7	2.8e+07	28100000	8400	-	ENSMUSG00000030603	Psmc4	protein_coding	chromosome	proteasome (prosome, macropain) 26S subunit, ATPase, 4 [Source:MGI Symbol;Acc:MGI:1346093]	ENSMUSG00000030603.16	Psmc4	23996	-0.846	6.46	28.8	2.8e-06	0.00107	5.55
3	32700000	32700000	20700	+	ENSMUSG00000027671	Actl6a	protein_coding	chromosome	actin-like 6A [Source:MGI Symbol;Acc:MGI:1861453]	ENSMUSG00000027671.14	Actl6a	56456	-1.39	3.59	28.8	2.81e-06	0.00107	5.55
17	3.7e+07	3.7e+07	9470	+	ENSMUSG00000036036	Zfp57	protein_coding	chromosome	zinc finger protein 57 [Source:MGI Symbol;Acc:MGI:99204]	ENSMUSG00000036036.15	Zfp57	22715	0.869	6.58	28.8	2.82e-06	0.00107	5.55
X	36200000	36200000	3260	+	ENSMUSG00000036699	Zcchc12	protein_coding	chromosome	zinc finger, CCHC domain containing 12 [Source:MGI Symbol;Acc:MGI:1919943]	ENSMUSG00000036699.12	Zcchc12	72693	0.969	7.51	28.6	3e-06	0.00107	5.52
17	25800000	25800000	2830	-	ENSMUSG00000025735	Rhbdl1	protein_coding	chromosome	rhomboid, veinlet-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:2384891]	ENSMUSG00000025735.13	Rhbdl1	214951	0.848	5.72	28.5	3.06e-06	0.00107	5.51
9	98600000	98600000	12900	-	ENSMUSG00000032459	Mrps22	protein_coding	chromosome	mitochondrial ribosomal protein S22 [Source:MGI Symbol;Acc:MGI:1928137]	ENSMUSG00000032459.9	Mrps22	64655	-1.02	3.25	28.4	3.12e-06	0.00107	5.51
5	1.22e+08	1.22e+08	5650	+	ENSMUSG00000044134	Fam109a	protein_coding	chromosome	family with sequence similarity 109, member A [Source:MGI Symbol;Acc:MGI:2442708]	ENSMUSG00000044134.9	Fam109a	231717	1.02	4.79	28.4	3.12e-06	0.00107	5.51
1	86100000	86100000	74800	+	ENSMUSG00000026229	Psmd1	protein_coding	chromosome	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]	ENSMUSG00000026229.17	Psmd1	70247	-0.589	7.09	28.4	3.2e-06	0.00107	5.49
1	1.34e+08	1.34e+08	36100	-	ENSMUSG00000026458	Ppfia4	protein_coding	chromosome	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 [Source:MGI Symbol;Acc:MGI:1915757]	ENSMUSG00000026458.13	Ppfia4	68507	1.16	6.87	28.3	3.28e-06	0.00107	5.48
8	83700000	83700000	11700	+	ENSMUSG00000005481	Ddx39	protein_coding	chromosome	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 [Source:MGI Symbol;Acc:MGI:1915528]	ENSMUSG00000005481.18	Ddx39	68278	-1.28	4.6	28.3	3.3e-06	0.00107	5.48
4	1.37e+08	1.37e+08	27400	-	ENSMUSG00000028661	Epha8	protein_coding	chromosome	Eph receptor A8 [Source:MGI Symbol;Acc:MGI:109378]	ENSMUSG00000028661.8	Epha8	13842	1.51	4.88	28.3	3.3e-06	0.00107	5.48
2	1.22e+08	1.22e+08	262000	-	ENSMUSG00000027238	Frmd5	protein_coding	chromosome	FERM domain containing 5 [Source:MGI Symbol;Acc:MGI:2442557]	ENSMUSG00000027238.17	Frmd5	228564	0.714	4.68	28.1	3.42e-06	0.00109	5.47
16	65500000	65600000	23600	-	ENSMUSG00000004843	Chmp2b	protein_coding	chromosome	charged multivesicular body protein 2B [Source:MGI Symbol;Acc:MGI:1916192]	ENSMUSG00000004843.6	Chmp2b	68942	0.589	5.73	27.9	3.65e-06	0.00113	5.44
2	36100000	36100000	23500	-	ENSMUSG00000026890	Lhx6	protein_coding	chromosome	LIM homeobox protein 6 [Source:MGI Symbol;Acc:MGI:1306803]	ENSMUSG00000026890.19	Lhx6	16874	1.37	4.82	27.9	3.66e-06	0.00113	5.44
3	96600000	96600000	3860	+	ENSMUSG00000038374	Rbm8a	protein_coding	chromosome	RNA binding motif protein 8a [Source:MGI Symbol;Acc:MGI:1913129]	ENSMUSG00000038374.10	Rbm8a	60365	-0.83	5.43	27.7	3.92e-06	0.00117	5.41
3	95100000	95100000	5430	+	ENSMUSG00000053769	Lysmd1	protein_coding	chromosome	LysM, putative peptidoglycan-binding, domain containing 1 [Source:MGI Symbol;Acc:MGI:1919409]	ENSMUSG00000053769.5	Lysmd1	217779	0.668	4.2	27.7	3.99e-06	0.00117	5.4
3	1.05e+08	1.05e+08	66100	+	ENSMUSG00000045576	St7l	protein_coding	chromosome	suppression of tumorigenicity 7-like [Source:MGI Symbol;Acc:MGI:2386964]	ENSMUSG00000045576.16	St7l	229681	-0.829	3.46	27.6	4.04e-06	0.00117	5.39
19	5710000	5730000	18900	-	ENSMUSG00000024937	Ehbp1l1	protein_coding	chromosome	EH domain binding protein 1-like 1 [Source:MGI Symbol;Acc:MGI:3612340]	ENSMUSG00000024937.14	Ehbp1l1	114601	0.924	4.02	27.5	4.14e-06	0.00117	5.38
17	33900000	33900000	9040	+	ENSMUSG00000024312	Wdr46	protein_coding	chromosome	WD repeat domain 46 [Source:MGI Symbol;Acc:MGI:1931871]	ENSMUSG00000024312.9	Wdr46	57315	-1.27	3.59	27.5	4.19e-06	0.00117	5.38
X	1.53e+08	1.53e+08	32000	+	ENSMUSG00000041658	Rragb	protein_coding	chromosome	Ras-related GTP binding B [Source:MGI Symbol;Acc:MGI:3038613]	ENSMUSG00000041658.12	Rragb	245670	0.675	5.9	27.4	4.29e-06	0.00117	5.37
2	1.3e+08	1.3e+08	75300	+	ENSMUSG00000053552	Ebf4	protein_coding	chromosome	early B cell factor 4 [Source:MGI Symbol;Acc:MGI:2385972]	ENSMUSG00000053552.14	Ebf4	228598	1.01	4.5	27.4	4.3e-06	0.00117	5.37
17	32800000	32800000	14200	-	ENSMUSG00000055202	Zfp811	protein_coding	chromosome	zinc finger protein 811 [Source:MGI Symbol;Acc:MGI:2682944]	ENSMUSG00000055202.10	Zfp811	240063	1.15	4.16	27.4	4.36e-06	0.00117	5.36
15	84200000	84200000	21700	+	ENSMUSG00000041653	Pnpla3	protein_coding	chromosome	patatin-like phospholipase domain containing 3 [Source:MGI Symbol;Acc:MGI:2151796]	ENSMUSG00000041653.4	Pnpla3	116939	1.39	3.77	27.4	4.37e-06	0.00117	5.36
7	45600000	45600000	11600	+	ENSMUSG00000044562	Rasip1	protein_coding	chromosome	Ras interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917153]	ENSMUSG00000044562.12	Rasip1	69903	1.49	2.92	27.3	4.44e-06	0.00117	5.35
10	62600000	62600000	22000	-	ENSMUSG00000020075	Ddx21	protein_coding	chromosome	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 [Source:MGI Symbol;Acc:MGI:1860494]	ENSMUSG00000020075.8	Ddx21	56200	-1.31	4.42	27.2	4.55e-06	0.00119	5.34
3	82500000	82500000	9700	-	ENSMUSG00000028004	Npy2r	protein_coding	chromosome	neuropeptide Y receptor Y2 [Source:MGI Symbol;Acc:MGI:108418]	ENSMUSG00000028004.12	Npy2r	18167	2.17	0.92	27	4.89e-06	0.00119	5.31
4	1.3e+08	1.3e+08	4670	-	ENSMUSG00000028795	Ccdc28b	protein_coding	chromosome	coiled coil domain containing 28B [Source:MGI Symbol;Acc:MGI:1913514]	ENSMUSG00000028795.15	Ccdc28b	66264	0.784	4.79	27	4.89e-06	0.00119	5.31
7	1.01e+08	1.01e+08	39200	-	ENSMUSG00000047767	Atg16l2	protein_coding	chromosome	autophagy related 16-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920933]	ENSMUSG00000047767.17	Atg16l2	73683	0.788	4.47	27	4.9e-06	0.00119	5.31
19	41900000	41900000	10300	-	ENSMUSG00000034321	Exosc1	protein_coding	chromosome	exosome component 1 [Source:MGI Symbol;Acc:MGI:1913833]	ENSMUSG00000034321.13	Exosc1	66583	-1.08	2.73	27	4.93e-06	0.00119	5.31
9	57500000	57500000	1420	+	ENSMUSG00000062309	Rpp25	protein_coding	chromosome	ribonuclease P/MRP 25 subunit [Source:MGI Symbol;Acc:MGI:2143151]	ENSMUSG00000062309.8	Rpp25	102614	0.939	3.41	27	4.93e-06	0.00119	5.31
10	82800000	82900000	63800	+	ENSMUSG00000020250	Txnrd1	protein_coding	chromosome	thioredoxin reductase 1 [Source:MGI Symbol;Acc:MGI:1354175]	ENSMUSG00000020250.10	Txnrd1	50493	-1.45	7.22	27	4.97e-06	0.00119	5.3
19	4.5e+07	4.5e+07	19700	-	ENSMUSG00000074818	Pdzd7	protein_coding	chromosome	PDZ domain containing 7 [Source:MGI Symbol;Acc:MGI:3608325]	ENSMUSG00000074818.12	Pdzd7	100503041	1.25	2.72	26.9	5.16e-06	0.00122	5.29
7	40800000	40900000	82500	-	ENSMUSG00000100600	A230077H06Rik	antisense_RNA	chromosome	RIKEN cDNA A230077H06 gene [Source:MGI Symbol;Acc:MGI:2443592]	ENSMUSG00000100600.6	A230077H06Rik	NA	1.37	3.06	26.8	5.25e-06	0.00123	5.28
17	5.6e+07	5.6e+07	6160	+	ENSMUSG00000039154	Shd	protein_coding	chromosome	src homology 2 domain-containing transforming protein D [Source:MGI Symbol;Acc:MGI:1099461]	ENSMUSG00000039154.7	Shd	20420	0.805	4.88	26.7	5.37e-06	0.00123	5.27
16	38500000	38600000	25100	-	ENSMUSG00000034064	Poglut1	protein_coding	chromosome	protein O-glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2444232]	ENSMUSG00000034064.14	Poglut1	224143	-0.734	5.47	26.7	5.43e-06	0.00123	5.27
9	88400000	88500000	35600	-	ENSMUSG00000032423	Syncrip	protein_coding	chromosome	synaptotagmin binding, cytoplasmic RNA interacting protein [Source:MGI Symbol;Acc:MGI:1891690]	ENSMUSG00000032423.12	Syncrip	56403	-0.554	6.47	26.7	5.45e-06	0.00123	5.26
1	65100000	65100000	17900	-	ENSMUSG00000044816	D630023F18Rik	protein_coding	chromosome	RIKEN cDNA D630023F18 gene [Source:MGI Symbol;Acc:MGI:2138198]	ENSMUSG00000044816.10	D630023F18Rik	98303	1.17	3.17	26.6	5.66e-06	0.00126	5.25
11	1.21e+08	1.21e+08	7200	+	ENSMUSG00000025145	Lrrc45	protein_coding	chromosome	leucine rich repeat containing 45 [Source:MGI Symbol;Acc:MGI:2387183]	ENSMUSG00000025145.13	Lrrc45	217366	0.737	5.39	26.5	5.74e-06	0.00126	5.24
10	85900000	8.6e+07	19200	-	ENSMUSG00000001783	Rtcb	protein_coding	chromosome	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:MGI Symbol;Acc:MGI:106379]	ENSMUSG00000001783.3	Rtcb	28088	-0.497	6.23	26.4	5.96e-06	0.00128	5.22
8	25800000	25900000	88300	+	ENSMUSG00000031576	Kcnu1	protein_coding	chromosome	potassium channel, subfamily U, member 1 [Source:MGI Symbol;Acc:MGI:1202300]	ENSMUSG00000031576.16	Kcnu1	16532	1.1	2.48	26.4	6.03e-06	0.00128	5.22
18	61800000	61900000	112000	-	ENSMUSG00000032735	Ablim3	protein_coding	chromosome	actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]	ENSMUSG00000032735.14	Ablim3	319713	1.21	6.66	26.4	6.05e-06	0.00128	5.22
3	33800000	33800000	31900	-	ENSMUSG00000027676	Ccdc39	protein_coding	chromosome	coiled-coil domain containing 39 [Source:MGI Symbol;Acc:MGI:1289263]	ENSMUSG00000027676.11	Ccdc39	51938	0.99	4.3	26.3	6.2e-06	0.0013	5.21
X	1.7e+08	1.7e+08	9620	+	ENSMUSG00000095562	Gm21887	protein_coding	chromosome	predicted gene, 21887 [Source:MGI Symbol;Acc:MGI:5434051]	ENSMUSG00000095562.7	Gm21887	NA	-2.15	1.84	26.1	6.57e-06	0.00137	5.18
8	70100000	70100000	2420	+	ENSMUSG00000071078	Nr2c2ap	protein_coding	chromosome	nuclear receptor 2C2-associated protein [Source:MGI Symbol;Acc:MGI:1922942]	ENSMUSG00000071078.6	Nr2c2ap	75692	-0.718	4.03	26	6.72e-06	0.00138	5.17
8	71700000	71700000	17300	-	ENSMUSG00000070000	Fcho1	protein_coding	chromosome	FCH domain only 1 [Source:MGI Symbol;Acc:MGI:1921265]	ENSMUSG00000070000.13	Fcho1	74015	0.91	6.3	26	6.86e-06	0.00139	5.16
14	19900000	2e+07	105000	-	ENSMUSG00000043004	Gng2	protein_coding	chromosome	guanine nucleotide binding protein (G protein), gamma 2 [Source:MGI Symbol;Acc:MGI:102705]	ENSMUSG00000043004.13	Gng2	14702	1.18	9.55	25.9	7.02e-06	0.00139	5.15
17	26200000	26200000	8370	+	ENSMUSG00000024186	Rgs11	protein_coding	chromosome	regulator of G-protein signaling 11 [Source:MGI Symbol;Acc:MGI:1354739]	ENSMUSG00000024186.15	Rgs11	50782	1.75	6.05	25.9	7.04e-06	0.00139	5.15
3	1.54e+08	1.54e+08	298000	+	ENSMUSG00000028360	Slc44a5	protein_coding	chromosome	solute carrier family 44, member 5 [Source:MGI Symbol;Acc:MGI:3035141]	ENSMUSG00000028360.9	Slc44a5	242259	1.17	4.68	25.9	7.07e-06	0.00139	5.15
17	56200000	56200000	8180	-	ENSMUSG00000019579	Mydgf	protein_coding	chromosome	myeloid derived growth factor [Source:MGI Symbol;Acc:MGI:2156020]	ENSMUSG00000019579.13	Mydgf	28106	-0.475	6.15	25.8	7.24e-06	0.00141	5.14
7	1.27e+08	1.27e+08	6320	-	ENSMUSG00000059772	Slx1b	protein_coding	chromosome	SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915220]	ENSMUSG00000059772.12	Slx1b	75764	0.671	4.34	25.8	7.31e-06	0.00141	5.14
11	1.21e+08	1.21e+08	2500	+	ENSMUSG00000018012	Rac3	protein_coding	chromosome	RAS-related C3 botulinum substrate 3 [Source:MGI Symbol;Acc:MGI:2180784]	ENSMUSG00000018012.11	Rac3	170758	1.36	7.66	25.7	7.44e-06	0.00142	5.13
4	1.21e+08	1.21e+08	41800	+	ENSMUSG00000032890	Rims3	protein_coding	chromosome	regulating synaptic membrane exocytosis 3 [Source:MGI Symbol;Acc:MGI:2443331]	ENSMUSG00000032890.17	Rims3	242662	0.973	6.32	25.6	7.77e-06	0.00146	5.11
8	84900000	84900000	25500	-	ENSMUSG00000053693	Mast1	protein_coding	chromosome	microtubule associated serine/threonine kinase 1 [Source:MGI Symbol;Acc:MGI:1861901]	ENSMUSG00000053693.16	Mast1	56527	0.897	6.73	25.6	7.88e-06	0.00146	5.1
